,PL1_1,PL1_2,PL1_3,PL2_2,PL2_3,PL2_1,DIFF_cls,DIFF_pts,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17
44660,1.0,1.0,0.0,0.0,0.0,0.0,-0.19485145294823095,0.3117035439982835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19200,0.0,0.0,0.0,0.0,0.0,1.0,0.2275523945407472,-0.3117035439982835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8935,1.0,0.0,0.0,0.0,0.0,0.0,-0.2275523945407472,-0.8396176387468215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55290,0.0,0.0,0.0,0.0,0.0,1.0,0.2275523945407472,-0.6954772715799851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11982,1.0,1.0,0.0,0.0,0.0,0.0,-0.02491377286908931,1.5909493026039558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11131,1.0,1.0,1.0,0.0,0.0,0.0,4.3639814536543575,0.5675526957194179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29578,1.0,1.0,0.0,0.0,0.0,0.0,-0.22165550343389998,1.5909493026039558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11472,1.0,1.0,0.0,0.0,0.0,0.0,-0.2275523945407472,-0.9675422146073887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37239,1.0,1.0,0.0,0.0,0.0,0.0,0.3396213137360095,0.8234018474405523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14954,1.0,1.0,0.0,0.0,0.0,0.0,-0.24845955391956903,0.4396281198588507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53726,1.0,0.0,0.0,0.0,0.0,0.0,-0.2677584702692507,-0.8396176387468215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51702,1.0,1.0,1.0,0.0,0.0,0.0,-0.2237998274727535,0.9513264233011196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42263,1.0,1.0,0.0,0.0,0.0,0.0,-0.2275523945407472,-0.07207018358341817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3252,0.0,0.0,0.0,0.0,0.0,1.0,0.0501095803256182,2.1188633973524933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
